tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
226,2020-02-01 09:12:31.1570,2020-02-01 09:16:18.0870,3203,Hamilton Park,40.727595966,-74.044247311,3273,Manila & 1st,40.721650724880000,-74.04288411140440,29242,Subscriber,1992,2
222,2020-02-01 09:13:00.0550,2020-02-01 09:16:42.7070,3186,Grove St PATH,40.71958611647170,-74.04311746358870,3279,Dixon Mills,40.721630142638400,-74.04996782541280,42126,Subscriber,1968,2
302,2020-02-01 09:16:38.3160,2020-02-01 09:21:40.7790,3273,Manila & 1st,40.721650724880000,-74.04288411140440,3278,Monmouth and 6th,40.72568548362900,-74.04879033565520,29242,Subscriber,1990,2
314,2020-02-01 09:16:54.5350,2020-02-01 09:22:08.7920,3269,Brunswick & 6th,40.72601172964630,-74.05038893222810,3273,Manila & 1st,40.721650724880000,-74.04288411140440,42345,Subscriber,1986,2
453,2020-02-01 09:17:30.0280,2020-02-01 09:25:03.2160,3280,Astor Place,40.71928220070700,-74.07126188278200,3195,Sip Ave,40.73089709786180,-74.06391263008120,42222,Subscriber,1960,1
112,2020-02-01 09:20:51.5940,2020-02-01 09:22:44.1150,3203,Hamilton Park,40.727595966,-74.044247311,3272,Jersey & 3rd,40.72333158646440,-74.04595255851740,42122,Subscriber,1983,1
275,2020-02-01 09:25:42.6480,2020-02-01 09:30:18.2680,3210,Pershing Field,40.742677141,-74.051788633,3212,Christ Hospital,40.734785818,-74.050443636,42277,Subscriber,1988,1
222,2020-02-01 09:26:40.0190,2020-02-01 09:30:22.3760,3187,Warren St,40.7211236,-74.03805095,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42292,Subscriber,1979,1
800,2020-02-01 09:30:39.2710,2020-02-01 09:43:59.7310,3281,Leonard Gordon Park,40.74590996631560,-74.0572714805603,3201,Dey St,40.737711,-74.066921,42355,Customer,1969,0
111,2020-02-01 09:33:48.2580,2020-02-01 09:35:39.6420,3638,Washington St,40.7242941,-74.0354826,3202,Newport PATH,40.7272235,-74.0337589,29504,Subscriber,1996,1
247,2020-02-01 09:35:15.9610,2020-02-01 09:39:23.1190,3276,Marin Light Rail,40.71458403535890,-74.04281705617910,3275,Columbus Drive,40.71835519823210,-74.03891444206240,42162,Subscriber,1989,2
482,2020-02-01 09:38:15.6130,2020-02-01 09:46:17.7840,3192,Liberty Light Rail,40.7112423,-74.0557013,3185,City Hall,40.7177325,-74.043845,42281,Customer,1969,0
493,2020-02-01 09:38:17.4050,2020-02-01 09:46:31.3450,3275,Columbus Drive,40.71835519823210,-74.03891444206240,3199,Newport Pkwy,40.7287448,-74.0321082,29572,Subscriber,1990,1
367,2020-02-01 09:41:02.8970,2020-02-01 09:47:10.7400,3483,Montgomery St,40.71942,-74.05099,3269,Brunswick & 6th,40.72601172964630,-74.05038893222810,29676,Subscriber,1968,1
217,2020-02-01 09:41:43.6790,2020-02-01 09:45:21.5780,3273,Manila & 1st,40.721650724880000,-74.04288411140440,3203,Hamilton Park,40.727595966,-74.044247311,42236,Subscriber,1973,2
556,2020-02-01 09:45:08.0080,2020-02-01 09:54:24.3370,3483,Montgomery St,40.71942,-74.05099,3202,Newport PATH,40.7272235,-74.0337589,42248,Subscriber,1980,1
1791,2020-02-01 09:46:31.6320,2020-02-01 10:16:23.1900,3205,JC Medical Center,40.71653978099190,-74.0496379137039,3213,Van Vorst Park,40.71848892,-74.047726625,42176,Subscriber,1976,1
538,2020-02-01 09:49:19.1670,2020-02-01 09:58:17.2870,3211,Newark Ave,40.72152515,-74.046304543,3268,Lafayette Park,40.71346382669200,-74.06285852193830,42196,Subscriber,1972,1
328,2020-02-01 09:50:58.6300,2020-02-01 09:56:27.4280,3192,Liberty Light Rail,40.7112423,-74.0557013,3213,Van Vorst Park,40.71848892,-74.047726625,42109,Subscriber,1964,2
189,2020-02-01 09:51:16.1900,2020-02-01 09:54:25.3000,3211,Newark Ave,40.72152515,-74.046304543,3269,Brunswick & 6th,40.72601172964630,-74.05038893222810,26215,Subscriber,1993,2
156,2020-02-01 09:52:55.7350,2020-02-01 09:55:32.1150,3196,Riverview Park,40.7443187,-74.0439909,3198,Heights Elevator,40.748715945380200,-74.04044330120090,29598,Subscriber,1990,1
421,2020-02-01 09:55:11.9860,2020-02-01 10:02:13.7700,3279,Dixon Mills,40.721630142638400,-74.04996782541280,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29537,Customer,1992,1
289,2020-02-01 09:56:01.2890,2020-02-01 10:00:50.8180,3639,Harborside,40.7192517,-74.034234,3481,York St,40.71649,-74.04105,42233,Subscriber,1985,2
512,2020-02-01 09:56:07.1850,2020-02-01 10:04:40.0230,3194,McGinley Square,40.7253399253558,-74.06762212514880,3209,Brunswick St,40.7241765,-74.0506564,42354,Customer,1983,1
186,2020-02-01 09:56:27.8610,2020-02-01 09:59:34.4010,3275,Columbus Drive,40.71835519823210,-74.03891444206240,3639,Harborside,40.7192517,-74.034234,42162,Subscriber,1972,1
206,2020-02-01 09:57:54.5810,2020-02-01 10:01:21.5280,3639,Harborside,40.7192517,-74.034234,3638,Washington St,40.7242941,-74.0354826,26156,Subscriber,1989,1
154,2020-02-01 10:00:35.2470,2020-02-01 10:03:09.7200,3194,McGinley Square,40.7253399253558,-74.06762212514880,3195,Sip Ave,40.73089709786180,-74.06391263008120,26307,Subscriber,1978,1
383,2020-02-01 10:02:12.9700,2020-02-01 10:08:36.2490,3203,Hamilton Park,40.727595966,-74.044247311,3185,City Hall,40.7177325,-74.043845,29281,Subscriber,1993,1
222,2020-02-01 10:03:39.7600,2020-02-01 10:07:22.2660,3681,Grand St,40.71517767732030,-74.03768330812450,3639,Harborside,40.7192517,-74.034234,29613,Subscriber,1978,1
285,2020-02-01 10:04:10.7880,2020-02-01 10:08:56.5210,3203,Hamilton Park,40.727595966,-74.044247311,3638,Washington St,40.7242941,-74.0354826,42307,Subscriber,1989,2
138,2020-02-01 10:04:12.1750,2020-02-01 10:06:30.8880,3279,Dixon Mills,40.721630142638400,-74.04996782541280,3186,Grove St PATH,40.71958611647170,-74.04311746358870,42126,Subscriber,1975,1
